key,main_integral,var_integral,pct_diff_integral,main_peak,var_peak,pct_diff_peak,main_latency,var_latency,correlation
"(1, 6)",-441.64246060181233,-88.22502867547632,80.02342696957741,-11.026596066996209,-2.7191531450461306,75.34004938128777,84.0,84.0,0.98628422954528
"(1, 7)",-2.0700950333534713,-2.435107671061587e-12,99.99999999988238,2.1136449647579223,-1.5814948901886214,-174.82310967820234,78.0,0.0,0.015041955698340282
"(2, -1)",-594.7641879788264,-482.07601996716505,18.94669690766133,-3.824401565177679,-2.73391714096487,28.513857805675954,11.0,20.0,0.8318146668666785
"(2, 0)",0.48427307180773826,0.0026804008365658057,-99.44651045193157,0.01533194505536068,0.03235378407834679,111.02204554949519,19.0,2.0,-0.5062346456056249
"(2, 1)",0.00800552968003343,-0.7930385968784359,-10006.135241198985,0.026488827136870237,-0.04059255238523285,-253.24405333421274,7.0,32.0,0.952448271657241
"(2, 2)",6.457013718976645,4.804652717816715,-25.590173307263907,0.4287922681798247,0.33969581724131714,-20.77846490019795,1.0,0.0,0.9711400260019903
"(2, 3)",-1.2156535103812995,0.1814846643206649,114.92897957936556,-0.04146791731489334,0.057780102291652605,239.33688025103854,28.0,0.0,0.6168896866533792
"(2, 4)",0.9192230020184498,0.8055423367205675,-12.367038797795503,0.07343607343459554,0.08861856970332734,20.674439085109576,0.0,0.0,0.9792572994037663
"(2, 5)",2.1666531548170838,0.8628480966982263,-60.17599333885673,0.09057541815567897,0.07442304109876463,-17.8330692651642,4.0,0.0,0.49785642118313
"(2, 6)",-669.8185817495587,-469.7077261719555,29.875381339065843,-10.621120305306995,-7.59467486701574,28.494597098001503,153.0,153.0,0.9993658311002713
"(2, 7)",0.8968344512703121,-6.650013872899763e-12,-100.0000000007415,-0.7659648052178435,1.425998064961602,286.1701810902451,25.0,42.0,0.09196690526618032
"(3, -1)",-916.6731660238424,-578.1306947742653,36.931644101467214,-5.540198940484518,-3.3368059921148294,39.7710077208345,33.0,0.0,0.953374842576715
"(3, 0)",1.29631645999569,1.4343129524835856,10.645278120464072,0.04320034795098652,0.07729957368816913,78.93275715248939,0.0,7.0,0.7319622065877925
"(3, 1)",0.337439644880572,0.6109794575516603,81.06332993798064,0.019761574457250956,0.017613071959843022,-10.872122067275876,6.0,10.0,0.8353816351781553
"(3, 2)",2.5107818873627696,1.8525357370843551,-26.21677946585043,0.09047489511674912,0.11209843508272549,23.900044247714543,0.0,0.0,0.9073997178398059
"(3, 3)",6.418793179431075,-0.8917603274586884,-113.8929593543584,0.4457320761844649,0.12397597181514466,-72.1859883012239,1.0,0.0,0.7640822463406511
"(3, 4)",1.2818077352123973,2.2864781922867365,78.37918507395058,0.09588527833494165,0.09274024389364995,-3.2799971965515144,0.0,0.0,0.8427929057369661
"(3, 5)",3.130954037558015,-0.5735167946808515,-118.317636982246,0.12586316315474677,-0.02572007304625709,-120.43494887748425,1.0,32.0,0.3869414107649745
"(3, 6)",-275.913284518997,-115.48567385054557,58.14421402294088,-8.076312766145001,-2.7635972856000874,65.78144797481373,82.0,75.0,0.9842019471455681
"(3, 7)",0.8744072118592886,-4.17316181611227e-12,-100.00000000047726,1.3817403460846813,-1.2941011406827205,-193.65733180982252,28.0,56.0,0.2205953336258114
"(4, -1)",-713.7228787650511,-416.3640020930685,41.663071973606925,-4.297770542025637,-2.434572962237261,43.35265369728669,143.0,119.0,0.21587891251995053
"(4, 0)",0.3999548187436808,0.9143683856528639,128.6179195252691,0.02060305018899387,0.04333808039223814,110.34788536014585,13.0,0.0,0.4180402215441063
